S.No:  :RequestDate:  :ActionType:: ID:: noOfScan:: : totalScans :
S.No: 63RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 99.00
S.No: 64RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 101.00
S.No: 65RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 103.00
S.No: 66RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 103.50
S.No: 67RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 105.50
S.No: 68RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 107.50
S.No: 69RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 108.00
S.No: 70RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 110.00
S.No: 71RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 112.00
S.No: 72RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 114.00
S.No: 73RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 116.00
S.No: 74RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 116.50
S.No: 75RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 118.50
S.No: 76RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 120.50
S.No: 77RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 122.50
S.No: 78RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 124.50
S.No: 79RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 125.00
S.No: 80RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 127.00
S.No: 81RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 127.50
S.No: 82RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 129.50
S.No: 83RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 131.50
S.No: 84RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 133.50
S.No: 85RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 134.00
S.No: 86RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 136.00
S.No: 87RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 138.00
S.No: 88RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 138.50
S.No: 89RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 140.50
S.No: 90RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 142.50
S.No: 91RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 144.50
S.No: 92RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 146.50
S.No: 93RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 148.50
S.No: 94RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 150.50
S.No: 95RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 152.50
S.No: 96RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 154.50
S.No: 97RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 156.50
S.No: 98RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 158.50
S.No: 99RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 159.00
S.No: 100RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 161.00
S.No: 101RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 161.50
S.No: 102RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 163.50
S.No: 103RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 165.50
S.No: 104RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 166.00
S.No: 105RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 166.50
S.No: 106RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 168.50
S.No: 107RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 170.50
S.No: 108RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 172.50
S.No: 109RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 173.00
S.No: 110RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 175.00
S.No: 111RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 177.00
S.No: 112RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 177.50
S.No: 113RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 178.50
S.No: 114RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 179.50
S.No: 115RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 180.50
S.No: 116RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 181.50
S.No: 117RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 182.50
S.No: 118RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 183.50
S.No: 119RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 184.50
S.No: 120RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_ADRQ, noOfScan:1 *** 185.50
S.No: 121RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 186.50
